roaster,name,link,price,altitude,varietal,processing,estate,roast_level,tasting_notes,description,country,scraped_at,transformed_at,location,producers,coffee_type,aroma,acidity,body,other_properties
naivo,grapes & plums – stanmore wine ‘o’ clock naturals,https://naivo.in/product/grapes-plums-stanmore-wine-o-clock-naturals/,665,1295,"sl 795 , sl 9 , sl 5b","wine ‘o’ clock naturals , wine ‘o",stanmore,MEDIUM_DARK,"aroma of chopped red apples , sweet malic acidity and smooth , medium body . notes of plums and red grapes with hints of nectarine","this festive season , we’re thrilled to unveil our newest showcase coffee , inspired by the rich flavors of dark and sweet wines : grapes & plums from stanmore estate . this festive coffee is sure to warm your soul and ignite your holiday spirit . with its mellow , pleasant wine - like flavors , grapes & plums is a delightful brew that showcases navin rajes’s innovative approach to coffee fermentation . unlike other fermented coffees , grapes & plums exhibits no excessively funky fermented notes , instead embracing a harmonious blend of winey depths and sweet plummy accents leading navin to name this process wine ‘o’ clock . from the meticulous picking and processing of the coffee beans to the carefully tailored roast profile , every step in the creation of grapes & plums was carefully executed to elevate the coffee’s essence . specifically crafted for espresso brewing , grapes & plums unveils its full aromatic spectrum when paired with a dollop of foamy milk . indulge in the rich aroma of freshly chopped red apples , followed by a luscious malic acidity and a velvety body that caresses the palate . as you savor the first sip , embark on a journey through fruity dimensions , where notes of red grapes , plums , and nectarines dance across the palate , lingering long after the last drop . let grapes & plums be the perfect companion to your holiday celebrations . its enticing aroma , smooth texture , and symphony of flavors will transport you to a world of pure delight , making this the ultimate festive indulgence . as the festivities unfold , embrace the warmth and joy of grapes & plums , a coffee that embodies the essence of the holidays . gather your loved ones , savor the rich aromas , and let the flavors transport you to a realm of festive enchantment . red apples plums red grapes nectarine this festive season , we’re thrilled to unveil our newest showcase coffee , inspired by the rich flavors of dark and sweet wines : grapes & plums from stanmore estate . this festive coffee is sure to warm your soul and ignite your holiday spirit . with its mellow , pleasant wine - like flavors , grapes & plums is a delightful brew that showcases navin rajes’s innovative approach to coffee fermentation . unlike other fermented coffees , grapes & plums exhibits no excessively funky fermented notes , instead embracing a harmonious blend of winey depths and sweet plummy accents leading navin to name this process wine ‘o’ clock . from the meticulous picking and processing of the coffee beans to the carefully tailored roast profile , every step in the creation of grapes & plums was carefully executed to elevate the coffee’s essence . specifically crafted for espresso brewing , grapes & plums unveils its full aromatic spectrum when paired with a dollop of foamy milk . indulge in the rich aroma of freshly chopped red apples , followed by a luscious malic acidity and a velvety body that caresses the palate . as you savor the first sip , embark on a journey through fruity dimensions , where notes of red grapes , plums , and nectarines dance across the palate , lingering long after the last drop . let grapes & plums be the perfect companion to your holiday celebrations . its enticing aroma , smooth texture , and symphony of flavors will transport you to a world of pure delight , making this the ultimate festive indulgence . as the festivities unfold , embrace the warmth and joy of grapes & plums , a coffee that embodies the essence of the holidays . gather your loved ones , savor the rich aromas , and let the flavors transport you to a realm of festive enchantment",india,2024-09-02 04:49:37.920374,2024-09-15 02:39:05.018997,servarayan hills,msp coffee,100% arabica,"red apples , followed by a luscious malic acidity and a velvety body",,,""
naivo,hacienda la claudina (colombia),https://naivo.in/product/hacienda-la-claudina-colombia/,440,1595,"castillo , caturra , bourbon","washed , washed",hacienda la,MEDIUM,"tropical fruits , mandarin , pecan","a sweet and round - bodied delight with enlivening notes of mandarin , tropical fruits and pecan nuts . this omni - roast brings great body and sweetness to an espresso while also holding great potential in filter brews with its scrumptious mixture of fruity and nutty flavors . colombia grows the largest volume of washed arabicas in the world and the country in general holds a great reputation globally . but we didn’t settle for just any colombian coffee . the hacienda la claudina is a highly reputed plantation located around 100km from medellín . we picked this washed lot as the best after roasting and cupping a number of different lots from across the region ( of various grades with different post - harvest processing ) . tropical fruits mandarin pecan a sweet and round - bodied delight with enlivening notes of mandarin , tropical fruits and pecan nuts . this omni - roast brings great body and sweetness to an espresso while also holding great potential in filter brews with its scrumptious mixture of fruity and nutty flavors . colombia grows the largest volume of washed arabicas in the world and the country in general holds a great reputation globally . but we didn’t settle for just any colombian coffee . the hacienda la claudina is a highly reputed plantation located around 100km from medellín . we picked this washed lot as the best after roasting and cupping a number of different lots from across the region ( of various grades with different post - harvest processing )",india,2024-09-02 04:49:37.920374,2024-09-15 02:39:05.018997,antioquia,juan fernando saldarriaga,100% arabica,,,round - bodied,nutty
quick_brown_fox,Badnekhan Estate SLN9 [Washed] [Espresso Roast],https://qbfcoffee.com/collections/all-coffees/products/badnekhan-estate,595,1400,"sln 9 , sln 9","washed , washed",,MEDIUM_DARK,"stone fruit , cacao , brown sugar","tasting notes : stone fruit , cacao , brown sugar roast level : espresso location - chikmagalur , kn altitude - 1400m varietal - sln 9 process - washed weight - 250gm/1kg",india,2024-09-06 02:04:54.998827,2024-09-15 02:39:06.514308,"chikmagalur , kn",,,,,,""
quick_brown_fox,Cold Brew Blend,https://qbfcoffee.com/collections/all-coffees/products/cold-brew-blend,550,,,,,,"milk chocolate , toffee , tropical fruit","make your own smooth , less - acidic , and highly caffeinated cold brew at home . tasting notes : milk chocolate , toffee , tropical fruit weight - 250gm/1kg",india,2024-09-06 02:04:54.998827,2024-09-15 02:39:06.514308,,,,,,,""
quick_brown_fox,Colombia Decaf [Espresso Roast],https://qbfcoffee.com/collections/all-coffees/products/colombia-decaf,1600,,,,,MEDIUM_DARK,"mandarin , hazelnut , chocolate fudge","tasting notes : mandarin , hazelnut , chocolate fudge roast : espresso weight - 250gm / 1kg",india,2024-09-06 02:04:54.998827,2024-09-15 02:39:06.514308,,,,,,,""
naivo,harley kaapi royale (india) – fine robusta,https://naivo.in/product/harley-kaapi-royale-india-fine-robusta/,385,1000,old peradeniya,"washed , washed",harley,MEDIUM_DARK,"caramel , milk chocolate , sweet cream","along with the talented producers at harley estate , located in the picturesque region of sakleshpur blessed with rich volcanic soil and a unique microclimate , we bring you india’s famed robusta kaapi royale that showcases a perfect harmony of flavour and aroma . carefully handpicked at peak ripeness , only the finest robusta beans make the cut , ensuring an unparalleled level of quality and consistency . the washed processing method utilized at harley estate brings forth the coffee’s inherent richness , eliminating any unwanted bitterness , and allowing inherent flavours to shine through . expect a vibrant but balanced cup , boasting delightful notes of caramel , milk chocolate and sweet cream , culminating in a remarkably smooth and satisfying finish . meticulously roasted to perfection , this lot of kaapi royale is tailored specifically for espresso enthusiasts . the medium - dark roast profile unlocks the full potential of the beans , crafting an indulgent , velvety crema with every shot , perfect for creating your favourite espresso - based beverages like lattes , cappuccinos , and flat whites . embark on a journey through the lush hills of sakleshpur with every sip of robusta kaapi royale . whether you’re a coffee connoisseur or simply seeking a premium coffee experience , this washed indian specialty robusta promises to tantalize your taste buds and leave you yearning for more . here’s your chance to bring more variety to your coffee rituals with the finest from harley estate and savour the essence of indian coffee craftsmanship like never before . caramel milk chocolate sweet cream along with the talented producers at harley estate , located in the picturesque region of sakleshpur blessed with rich volcanic soil and a unique microclimate , we bring you india’s famed robusta kaapi royale that showcases a perfect harmony of flavour and aroma . carefully handpicked at peak ripeness , only the finest robusta beans make the cut , ensuring an unparalleled level of quality and consistency . the washed processing method utilized at harley estate brings forth the coffee’s inherent richness , eliminating any unwanted bitterness , and allowing inherent flavours to shine through . expect a vibrant but balanced cup , boasting delightful notes of caramel , milk chocolate and sweet cream , culminating in a remarkably smooth and satisfying finish . meticulously roasted to perfection , this lot of kaapi royale is tailored specifically for espresso enthusiasts . the medium - dark roast profile unlocks the full potential of the beans , crafting an indulgent , velvety crema with every shot , perfect for creating your favourite espresso - based beverages like lattes , cappuccinos , and flat whites . embark on a journey through the lush hills of sakleshpur with every sip of robusta kaapi royale . whether you’re a coffee connoisseur or simply seeking a premium coffee experience , this washed indian specialty robusta promises to tantalize your taste buds and leave you yearning for more . here’s your chance to bring more variety to your coffee rituals with the finest from harley estate and savour the essence of indian coffee craftsmanship like never before",india,2024-09-02 04:49:37.920374,2024-09-15 02:39:05.018997,sakleshpur,dm purnesh & family,100% fine robusta,,,,""
naivo,jasmine-kissed cranberry – ratnagiri yeast carbonic naturals,https://naivo.in/product/jasmine-kissed-cranberry-ratnagiri-yeast-carbonic-naturals/,710,1340,"selection 9 , selection 9",yeast carbonic naturals,ratnagiri,MEDIUM_LIGHT,"rich jasmine aroma and sparkling malic acidity with complex fruit notes of raspberries , cranberries and rose apples . juicy and full - bodied with a lingering , floral finish","jasmine - kissed cranberry – the first of our exciting showcase microlot collection – is the result of a remarkable 104 - hour extended yeast carbonic maceration process of the selection 9 varietal masterminded by ashok patre at ratnagiri estate . the cherries were hand - picked at an impressive peak ripeness of brix 25 . 2 after cultivation at an altitude of 1340 masl . fermented in advanced stainless - steel fermenters , a unique strain of yeast was used to foster an environment rich in carbon dioxide . this meticulous process induces a great deal of complexity in the beans setting up the foundation for an exceptional coffee experience . the next crucial step involves slow drying on raised beds that allow the flavors to develop and intensify gradually . the coffee was subjected to further drying over the course of 30 days with constant stirring , ensuring the utmost care and attention to detail at every stage . after arduous profiling sessions , we pinpointed the ideal filter profile that embraces the immense complexity present in this coffee . we’ve brought forth an explosion of fruity expressions including cranberries , raspberries and rose apples that are preceded by a rich jasmine aroma . an enlivening malic acidity is married to a juicy , full - bodied texture that leaves a lasting impression . the floral finish lingers long , inviting you to savor every sip until you reach the bottom of your cup . jasmine - kissed cranberry is a grand celebration of indian microlot coffee , and you are invited to sinfully indulge ! jasmine cranberries raspberries rose apples jasmine - kissed cranberry – the first of our exciting showcase microlot collection – is the result of a remarkable 104 - hour extended yeast carbonic maceration process of the selection 9 varietal masterminded by ashok patre at ratnagiri estate . the cherries were hand - picked at an impressive peak ripeness of brix 25 . 2 after cultivation at an altitude of 1340 masl . fermented in advanced stainless - steel fermenters , a unique strain of yeast was used to foster an environment rich in carbon dioxide . this meticulous process induces a great deal of complexity in the beans setting up the foundation for an exceptional coffee experience . the next crucial step involves slow drying on raised beds that allow the flavors to develop and intensify gradually . the coffee was subjected to further drying over the course of 30 days with constant stirring , ensuring the utmost care and attention to detail at every stage . after arduous profiling sessions , we pinpointed the ideal filter profile that embraces the immense complexity present in this coffee . we’ve brought forth an explosion of fruity expressions including cranberries , raspberries and rose apples that are preceded by a rich jasmine aroma . an enlivening malic acidity is married to a juicy , full - bodied texture that leaves a lasting impression . the floral finish lingers long , inviting you to savor every sip until you reach the bottom of your cup . jasmine - kissed cranberry is a grand celebration of indian microlot coffee , and you are invited to sinfully indulge",india,2024-09-02 04:49:37.920374,2024-09-15 02:39:05.018997,chikmagalur,ashok patre,100% arabica,rich jasmine aroma,malic,full - bodied,""
naivo,kilimbi honey red bourbon (rwanda),https://naivo.in/product/kilimbi-honey-red-bourbon-rwanda/,550,1750,"red bourbon , red bourbon","honey sun dried , honey sun dried , honey processed",,MEDIUM,"rooibos tea , red apple , champak","this is the first time we are bringing you a lot from rwanda and we are thrilled that it is honey sun dried – the popular post - harvest method that has only been recently implemented in rwanda and is attracting amazing feedback from roasters around the world . furthermore , the varietal in this lot is red bourbon and it’s grown at a staggering altitudes of 1650 – 1850 masl which sets up a recipe for definite deliciousness . this coffee comes from joseph ntarindwa who runs the award - winning kilimbi washing station – the first producers and exporters of honey processed coffees in the history of rwanda . similar to other coffees in this region , you will get subtle tea - like and sweet herbal notes in your cup . our omni roast sets up potential for great results in espresso and manual brew with the former requiring some experimentation from the brewer’s end to achieve the ideal levels of acidity and sweetness . as you grind your beans or first unzip your bag of ground coffee , immerse yourself in the very subtle and citric aroma of magnolia champaca ( champak ) . rooibos tea and sweet red apple are notes to look out for in your cup that will have a medium tactile and a milk chocolate hint in the aftertaste . our journey with rwanda has just begun ! we would love to have you join us on what promises to be a long expedition . rooibos tea red apple champak this is the first time we are bringing you a lot from rwanda and we are thrilled that it is honey sun dried – the popular post - harvest method that has only been recently implemented in rwanda and is attracting amazing feedback from roasters around the world . furthermore , the varietal in this lot is red bourbon and it’s grown at a staggering altitudes of 1650 – 1850 masl which sets up a recipe for definite deliciousness . this coffee comes from joseph ntarindwa who runs the award - winning kilimbi washing station – the first producers and exporters of honey processed coffees in the history of rwanda . similar to other coffees in this region , you will get subtle tea - like and sweet herbal notes in your cup . our omni roast sets up potential for great results in espresso and manual brew with the former requiring some experimentation from the brewer’s end to achieve the ideal levels of acidity and sweetness . as you grind your beans or first unzip your bag of ground coffee , immerse yourself in the very subtle and citric aroma of magnolia champaca ( champak ) . rooibos tea and sweet red apple are notes to look out for in your cup that will have a medium tactile and a milk chocolate hint in the aftertaste . our journey with rwanda has just begun ! we would love to have you join us on what promises to be a long expedition",india,2024-09-02 04:49:37.920374,2024-09-15 02:39:05.018997,nymasheke,joseph ntarindwa,100% arabica,citric,,,""
naivo,kiri aa top (kenya),https://naivo.in/product/kiri-aa-top-kenya/,610,1450,"ruiru 11 , sl 28 , sl 34 , batian",washed,,MEDIUM_LIGHT,"blueberry , walnut , concord grape","we’ve explored several coffee origins around the world but kenya remains one of our favourites . producing some of the world’s most exotic tasting coffees , kenyan lots are renowned for their exhilarating acidity , bright and clear floral and fruit notes with juicy body and pleasant nutty aftertastes . these beans are generally super - dense packing explosive flavours that are easy to bring out in your cup without the need for complex brewing recipes . kenya yields a biennial crop with the primary harvest between october and december and the second harvest between june and august . our lot from the kiri washing station in the kirinyaga county was harvested in the primary season and arrived in india in february . we have spent over a month profiling it to ensure we deliver a coffee to you that is delicious , juicy , packed with exotic flavours and ready to make your palate explode . manual brewing methods are best suited for this filter roast with our suggestions being kalita , v60 , chemex and aeropress . the coffee will also work as an espresso if you are someone who likes sparkling acidity and tangy , fruity and strong winey notes in your shot ( make sure you experiment with grind size as this is a filter roast and it will require some dial - in patience to achieve the ideal shot ) . enjoy notes of blueberries and concord grapes bouncing of a juicy , lingering texture to end with an anti - climactic walnut finish . this coffee is made for all varieties of coffee enthusiasts with diverse preferences and is something you should definitely not miss . slurp away ! blueberry walnut concord grape we’ve explored several coffee origins around the world but kenya remains one of our favourites . producing some of the world’s most exotic tasting coffees , kenyan lots are renowned for their exhilarating acidity , bright and clear floral and fruit notes with juicy body and pleasant nutty aftertastes . these beans are generally super - dense packing explosive flavours that are easy to bring out in your cup without the need for complex brewing recipes . kenya yields a biennial crop with the primary harvest between october and december and the second harvest between june and august . our lot from the kiri washing station in the kirinyaga county was harvested in the primary season and arrived in india in february . we have spent over a month profiling it to ensure we deliver a coffee to you that is delicious , juicy , packed with exotic flavours and ready to make your palate explode . manual brewing methods are best suited for this filter roast with our suggestions being kalita , v60 , chemex and aeropress . the coffee will also work as an espresso if you are someone who likes sparkling acidity and tangy , fruity and strong winey notes in your shot ( make sure you experiment with grind size as this is a filter roast and it will require some dial - in patience to achieve the ideal shot ) . enjoy notes of blueberries and concord grapes bouncing of a juicy , lingering texture to end with an anti - climactic walnut finish . this coffee is made for all varieties of coffee enthusiasts with diverse preferences and is something you should definitely not miss . slurp away",india,2024-09-02 04:49:37.920374,2024-09-15 02:39:05.018997,"mount kenya , kirinyaga",kiri washing station,100% arabica,,"sparkling , exhilarating",juicy,""
naivo,kiryama red bourbon (burundi),https://naivo.in/product/kiryama-red-bourbon-burundi/,535,1600,red bourbon,"washed , washed",,MEDIUM_LIGHT,"rosehip , black tea , grapefruit","you’ve probably encountered coffee produced using the burundi washed process . we pondered : why not bring you a coffee processed this way directly from its place of origin ? floral , tea - like , and brimming with delicious citric acidity , this red bourbon from the muyinga province in burundi perfectly encapsulates the exotic flavor profile of africa . subtle hints of rosehip in the aroma provide a curious prelude to its syrupy texture . a prominent note of black tea with undertones of grapefruit leads to a crisp and clean finish . this coffee was produced by tib coffee ( this is burundi ) in the muyinga province in northern burundi , a stunning hilly region with an average altitude of 1500 – 1700 masl . around 2000 farmers , with farms spanning 50 hectares , collaborate with the washing station . coffee is pivotal to burundi’s economy and serves as a significant source of income for families , supporting education and providing access to cash for housing construction . kiryama derives from the verb “kuryama , ” meaning “to sleep” in kirundi . royal princes used to rest on this hill , finding respite before engaging in their customary activities in the region . they favored this hill , influencing catholic missionaries to establish a parish where italian priests resided for more than 20 years . rosehip black tea grapefruit you’ve probably encountered coffee produced using the burundi washed process . we pondered : why not bring you a coffee processed this way directly from its place of origin ? floral , tea - like , and brimming with delicious citric acidity , this red bourbon from the muyinga province in burundi perfectly encapsulates the exotic flavor profile of africa . subtle hints of rosehip in the aroma provide a curious prelude to its syrupy texture . a prominent note of black tea with undertones of grapefruit leads to a crisp and clean finish . this coffee was produced by tib coffee ( this is burundi ) in the muyinga province in northern burundi , a stunning hilly region with an average altitude of 1500 – 1700 masl . around 2000 farmers , with farms spanning 50 hectares , collaborate with the washing station . coffee is pivotal to burundi’s economy and serves as a significant source of income for families , supporting education and providing access to cash for housing construction . kiryama derives from the verb “kuryama , ” meaning “to sleep” in kirundi . royal princes used to rest on this hill , finding respite before engaging in their customary activities in the region . they favored this hill , influencing catholic missionaries to establish a parish where italian priests resided for more than 20 years",india,2024-09-02 04:49:37.920374,2024-09-15 02:39:05.018997,muyinga,tib coffee,100% arabica,,citric,,""
naivo,mizoram naturals (india),https://naivo.in/product/mizoram-naturals-india/,430,1050,"selection 9 , cauvery , chandragiri",natural sun - dried,,MEDIUM_DARK,"baked biscuits , cocoa , dried coconut","we are pleased to introduce our inaugural offering from an unconventional coffee - producing region in india . northeast india , often overshadowed by the prominence of its tea cultivation , has recently emerged as an enigmatic protagonist in the country’s agricultural narrative . the ascendancy of coffee in this region reflects a growing awareness and a burgeoning reputation . coffee plantations in northeast india are often set amidst lush forests , rolling hills , and high - altitude terrains . the biodiverse surroundings not only contribute to the unique flavor profiles of the coffee but also make it an environmentally sustainable crop . this assortment of naturals hails from the enchanting region of mizoram . we’ve tailored a medium - dark espresso profile that elicits a nostalgic aroma of baked biscuits , and captivating notes of cocoa and dried coconut . in the realm of indian coffee , this offering stands as a testament to the evolving story of northeast india , a narrative that marries tradition with innovation , sustainability with sensory delight , and an awakening to the hidden treasures within this agricultural landscape . baked biscuits cocoa dried coconut we are pleased to introduce our inaugural offering from an unconventional coffee - producing region in india . northeast india , often overshadowed by the prominence of its tea cultivation , has recently emerged as an enigmatic protagonist in the country’s agricultural narrative . the ascendancy of coffee in this region reflects a growing awareness and a burgeoning reputation . coffee plantations in northeast india are often set amidst lush forests , rolling hills , and high - altitude terrains . the biodiverse surroundings not only contribute to the unique flavor profiles of the coffee but also make it an environmentally sustainable crop . this assortment of naturals hails from the enchanting region of mizoram . we’ve tailored a medium - dark espresso profile that elicits a nostalgic aroma of baked biscuits , and captivating notes of cocoa and dried coconut . in the realm of indian coffee , this offering stands as a testament to the evolving story of northeast india , a narrative that marries tradition with innovation , sustainability with sensory delight , and an awakening to the hidden treasures within this agricultural landscape",india,2024-09-02 04:49:37.920374,2024-09-15 02:39:05.018997,mizoram,7000 steps,100% arabica,baked biscuits,,,""
naivo,mogiana belle giana pulped naturals (brazil),https://naivo.in/product/mogiana-belle-giana-pulped-naturals-brazil/,400,1075,"catuaí , mundo novo , tuby , ruby",pulped naturals,bella giana,MEDIUM_DARK,"white pepper , coriander , pecan nut","this coffee comes from cooperative guaxupé and is a pulped naturals that serves as a great daily driver if you are looking for a coffee that can be consumed without overwhelming the palate . experience distinct spice notes of white pepper and coriander in the aroma and rounded , nutty flavour notes . characterized by mild acidity and medium body , this is a great coffee for folks who are looking to explore coffees outside of the fruity and floral spectrums . bella giana was born under the requirement to offer an alternative high - quality brazilian coffee with 100% traceability to a premium growing region and superior cupping quality . after long and detailed analysis of the green coffee followed by comparative cupping sessions , we identified the ideal coffee from cooperative guaxupé . white pepper coriander pecan nut this coffee comes from cooperative guaxupé and is a pulped naturals that serves as a great daily driver if you are looking for a coffee that can be consumed without overwhelming the palate . experience distinct spice notes of white pepper and coriander in the aroma and rounded , nutty flavour notes . characterized by mild acidity and medium body , this is a great coffee for folks who are looking to explore coffees outside of the fruity and floral spectrums . bella giana was born under the requirement to offer an alternative high - quality brazilian coffee with 100% traceability to a premium growing region and superior cupping quality . after long and detailed analysis of the green coffee followed by comparative cupping sessions , we identified the ideal coffee from cooperative guaxupé",india,2024-09-02 04:49:37.920374,2024-09-15 02:39:05.018997,mogiana,cooperative guaxupé,100% arabica,,mild,medium body,""
naivo,monsoon malabar aa (india),https://naivo.in/product/monsoon-malabar-aa-india/,420,1250,various,monsooned,,MEDIUM_DARK,"earthy , mellow , dark chocolate","an overcast day , a reminiscent mood and a bottomless cup of india’s famed monsoon malabar . our handpicked lots of monsooned coffee are procured from aspinwall – one of the best and largest producers of monsoon malabar in the modern world . experiment with your brewing and look out for a unique bitter dark chocolate flavor in this cup that complements its earthy and mellow characteristics . earthy mellow dark chocolate an overcast day , a reminiscent mood and a bottomless cup of india’s famed monsoon malabar . our handpicked lots of monsooned coffee are procured from aspinwall – one of the best and largest producers of monsoon malabar in the modern world . experiment with your brewing and look out for a unique bitter dark chocolate flavor in this cup that complements its earthy and mellow characteristics",india,2024-09-02 04:49:37.920374,2024-09-15 02:39:05.018997,karnataka,aspinwall,100% arabica,,,,""
naivo,rumi – baarbara pineapple naturals (microlot),https://naivo.in/product/rumi-baarbara-pineapple-naturals-microlot/,540,1385,sl795,"pineapple fermented naturals , pineapple fermented naturals",baarbara,MEDIUM_DARK,"kiwi , grape , grilled pineapple","the art of espresso in its simplest form can be described as the search for perfection – which filtered down is nothing but the search for meaning . the ideal batch of beans , the accurate grind size , the perfect pressure of extraction and temperature of water come together to conclude in a blissful expression of flavor in the form of an espresso . this magical procedure is an endless journey toward perfection and it is one that never ends . we’ve taken a small but calculated step toward that perfection in the form of rumi – our experimental microlot form baarbara estate roasted to shine and deliver a magical espresso experience . dedicated to history’s most beloved sufi romantic poet – jalal ad - din muhammad rumi – this lot of pineapple fermented naturals is curated to deliver a sweet and exotic espresso intended to twist and delight your senses . rumi’s poetry forms an unbreakable bridge between mysterious inner dimensions and raw human experience while leaving its reader in exuberant bliss craving for more . this special lot of coffee named after this very special poet will help you brew an enchanting espresso and encourage coffee experiments that will help spark the curious and creative dimensions within you . kiwi grape grilled pineapple the art of espresso in its simplest form can be described as the search for perfection – which filtered down is nothing but the search for meaning . the ideal batch of beans , the accurate grind size , the perfect pressure of extraction and temperature of water come together to conclude in a blissful expression of flavor in the form of an espresso . this magical procedure is an endless journey toward perfection and it is one that never ends . we’ve taken a small but calculated step toward that perfection in the form of rumi – our experimental microlot form baarbara estate roasted to shine and deliver a magical espresso experience . dedicated to history’s most beloved sufi romantic poet – jalal ad - din muhammad rumi – this lot of pineapple fermented naturals is curated to deliver a sweet and exotic espresso intended to twist and delight your senses . rumi’s poetry forms an unbreakable bridge between mysterious inner dimensions and raw human experience while leaving its reader in exuberant bliss craving for more . this special lot of coffee named after this very special poet will help you brew an enchanting espresso and encourage coffee experiments that will help spark the curious and creative dimensions within you",india,2024-09-02 04:49:37.920374,2024-09-15 02:39:05.018997,chikmagalur,"sreeraksha pournesh , poojya prasad",100% arabica,,,,""
naivo,sláinte 2024 (whiskey barrel aged coffee),https://naivo.in/product/slainte-whiskey-barrel-aged-coffee/,760,1000,"selection 9 , selection 9","whiskey barrel aged , amrut whiskey barrels",harley,MEDIUM_LIGHT,"dark rum , black currant , jujube","unveil hidden dimensions of complexity in this very unique lot of coffee . we worked with harley estate to produce this lot which involved aging batches of selection 9 cherries in amrut whiskey barrels for a period of 3 months . following this , the cherries were removed and dried on raised beds to complete their development . bittersweet notes of dark rum with undertones of black currant and the jujube fruit lead into an anti - climactic smoky finish . this coffee is undoubtedly only for the brave - hearted ! we recommend trying this in v60 pourover , chemex and aeropress . it’s a perfect choice for cold brew lovers as it induces a lot of character into cold - brew drinks . dark rum black currant jujube unveil hidden dimensions of complexity in this very unique lot of coffee . we worked with harley estate to produce this lot which involved aging batches of selection 9 cherries in amrut whiskey barrels for a period of 3 months . following this , the cherries were removed and dried on raised beds to complete their development . bittersweet notes of dark rum with undertones of black currant and the jujube fruit lead into an anti - climactic smoky finish . this coffee is undoubtedly only for the brave - hearted ! we recommend trying this in v60 pourover , chemex and aeropress . it’s a perfect choice for cold brew lovers as it induces a lot of character into cold - brew drinks",india,2024-09-02 04:49:37.920374,2024-09-15 02:39:05.018997,sakleshpur,"dm purnesh , dm shankar",100% arabica,,,,""
quick_brown_fox,Middle Ground [Espresso Blend],https://qbfcoffee.com/collections/all-coffees/products/middle-ground-espresso-blend,550,,"sl795 , chandragiri , chandragiri , sl795","washed , natural , washed",,,"ripe stone - fruit , toffee , bittersweet chocolate","tasting notes : ripe stone - fruit , toffee , bittersweet chocolate varietal : sl795 , chandragiri process : washed , natural weight - 250gm / 1kg",india,2024-09-06 02:04:54.998827,2024-09-15 02:39:06.514308,,,,,,,""
naivo,thogarihunkal honey (india),https://naivo.in/product/thogarihunkal-honey-india/,495,1220,chandragiri,honey sun dried,thogarihunkal,MEDIUM_LIGHT,"orange blossom , grapefruit , cola candy","sit back , close your eyes and indulge in thogarihunkal honey – a work of art will take your taste buds dancing down candy lane . with rich and juicy acidity , each sip of this coffee will bring you a serendipitous encounter with mysterious notes that we are yet unable to name . overlaying these mysterious expressions is an unmissable aroma of oranges and grapefruit with a splashing dash of cola candy on your palette . here’s a coffee that will quench your morning thirst , make for an awakening initiation to a lazy sunday brunch and even light up your friday evenings before you head out to party . black is the way we like it with the chemex brewing the juiciest cup , the aeropress brewing the sweetest and a v60 displaying a more balanced rendition of this coffee . so , go ahead , indulge ! process : only the sweetest cherries – with a brix level above 18 – are selectively handpicked in the honey process . the cherries are then sorted to eliminate fruit that have not completely ripened yet . the fruit are then pulped without using water . pulping is done such that some of the mucilage is still left over the inner parchment . the first stage of drying involves drying in open sunlight for 3 days . following this , drying takes place on raised beds in shade to slow down the process and reduce the impact of sunlight . the coffees are finally stored and allowed to rest for 30 days before it is shipped of to the mills . orange blossom grapefruit cola candy sit back , close your eyes and indulge in thogarihunkal honey – a work of art will take your taste buds dancing down candy lane . with rich and juicy acidity , each sip of this coffee will bring you a serendipitous encounter with mysterious notes that we are yet unable to name . overlaying these mysterious expressions is an unmissable aroma of oranges and grapefruit with a splashing dash of cola candy on your palette . here’s a coffee that will quench your morning thirst , make for an awakening initiation to a lazy sunday brunch and even light up your friday evenings before you head out to party . black is the way we like it with the chemex brewing the juiciest cup , the aeropress brewing the sweetest and a v60 displaying a more balanced rendition of this coffee . so , go ahead , indulge ! process : only the sweetest cherries – with a brix level above 18 – are selectively handpicked in the honey process . the cherries are then sorted to eliminate fruit that have not completely ripened yet . the fruit are then pulped without using water . pulping is done such that some of the mucilage is still left over the inner parchment . the first stage of drying involves drying in open sunlight for 3 days . following this , drying takes place on raised beds in shade to slow down the process and reduce the impact of sunlight . the coffees are finally stored and allowed to rest for 30 days before it is shipped of to the mills",india,2024-09-02 04:49:37.920374,2024-09-15 02:39:05.018997,chikmagalur,nandan gowda,100% arabica,"oranges , grapefruit","rich , juicy",,""
